Name Company,Company Overview,Company Size,Company Address,Industry,company_id
CÔNG TY CỔ PHẦN CÔNG NGHỆ HỢP LONG,"Thành lập từ 2010 với mô hình kinh doanh đầu tiên là phân phối thiết bị tự động hóa và giải pháp tích hợp Robot công nghiệp cho các nhà máy sản xuất.. . . Đến nay, Hợp Long không ngừng phát triển, đi đến ký kết hợp tác chính thức và trở thành một trong những nhà phân phối lớn nhất các sản phẩm từ những nhà cung cấp thiết bị điện tử hàng đầu thế giới tại Việt Nam: Schneider, Autonics, Omron, LS, Hanyoung, Mitsubishi, Patlite, Siemens, Delta,…... . . . Ngoài trụ sở chính tại Hà Nội, Hợp Long còn có các chi nhánh đặt tại 4 thành phố cấp 1: Thành phố Hồ Chí Minh, Đà Nẵng, Hải Phòng, Bắc Ninh. . . Hệ thống kho hàng của Hợp Long là một trong những kho hàng thiết bị tự động hóa lớn nhất Đông Nam Á với diện tích trên 5000m2, cùng với nhà máy có diện tích gần 2000m2, được trang bị nhiều máy móc hiện đại nhập khẩu từ Nhật Bản và Châu Âu.1. Tầm nhìn. . . Trở thành công ty kinh doanh thiết bị tự động hóa hàng đầu với phương châm phát triển bền vững, tạo dựng niềm tin, góp phần thay đổi diện mạo nền công nghiệp trong nước và vươn tầm thế giới.2. Sứ mệnh. . - Cung cấp giải pháp hoàn thiện cho mọi vấn đề sản xuất của doanh nghiệp.. . - Mang lại giá trị về chuyên nghiệp và sự thịnh vượng cho nhân viên công ty.3. Giá trị cốt lõi. . - Tiên phong mở đường và mạnh dạn đương đầu với những thử thách. . - Đổi mới và năng động để phát triển bền vững. . - Cam kết chất lượng là nguyên tắc ứng xử của mỗi thành viên trong phục vụ khách hàng và đối tác. . - Trách nhiệm với cộng đồng. . - Phấn đấu phát triển bền vững. . - Tạo dựng môi trường làm việc tốt nhất cho các thành viên công ty",100-499,"87 Lĩnh Nam, Hoàng Mai, Hà Nội",Ngành nghề,C_ea05d3a6
CÔNG TY CỔ PHẦN CÔNG NGHỆ INTERNET CHIẾC Ô XANH,"Công ty Cổ phần Công nghệ Internet Chiếc Ô Xanh là Công ty công nghệ tập trung phát triển cộng đồng các thành viên trên toàn quốc, đồng thời xây dựng một cơ chế trợ giúp lẫn nhau giữa các thành viên đối với 46 bệnh hiểm nghèo, tai nạn lớn xảy ra bất ngờ và không lường trước được. Hoạt động của công ty có tính nhân văn và xã hội rất cao",100-499,"SH19 đường Mạc Thái Tổ, Quận Cầu Giấy, Hà Nội",Marketing / Truyền thông / Quảng cáo,C_df02d364
CÔNG TY CỔ PHẦN CÔNG NGHỆ IZI SOFTWARE,"CÔNG TY CỔ PHẦN CÔNG NGHỆ IZI SOFTWARE Chuyên thiết kế website, marketing online, thiết kế các ứng dụng, app mobile. Chúng tôi không ngừng sáng tạo, học hỏi và tiếp thu những công nghệ mới để mang lại giao diện với những tính năng cập nhật, bắt kịp xu hướng thế giới. Hiểu được xu hướng phát triển của công nghệ hiện đại, doanh nghiệp đang đứng trước một thách thức lớn đó là kinh doanh trực tuyến. Để thành công và phát triển các doanh nghiệp thường chọn các kết hợp kinh doanh truyền thống và trực tuyến. Để kinh doanh trực tuyến hiệu quả các công ty cần có được các đối tác uy tín giúp họ đưa ra các giải pháp xây dựng website, phần mềm quản lý, app hay cả khi kinh doanh online không ra đơn, quảng cáo không hiệu quả, tỷ lệ chuyển đổi thấp,…CÔNG TY CỔ PHẦN CÔNG NGHỆ IZI SOFTWARE luôn đồng hành cùng doanh nghiệp để tìm ra những giải pháp nhằm giải quyết triệt để các vấn đề và mang lại hiệu quả kinh doanh cho khách hàng. Với nhiều năm kinh nghiệm, chúng tôi có một đội ngũ kỹ sư nhân viên hùng hậu, trẻ, nhiệt huyết, đầy kinh nghiệm. Xây dựng văn hoá công ty làm việc dựa trên tinh thần đoàn kết, với niềm tin “Sự phát triển của doanh nghiệp cũng chính là sự phát triển của chúng tôi”.",10-24,"183 Quách Thị Trang, Hòa Xuân, Cẩm Lệ, Đà Nẵng",Công nghệ thông tin,C_1fa641a8
CÔNG TY CỔ PHẦN CÔNG NGHỆ MOBIFONE TOÀN CẦU,"Công ty cổ phần công nghệ MobiFone toàn cầu (MobiFone Global) được thành lập năm 2007, là Công ty con của Tổng Công ty viễn thông MobiFone. Kể từ khi thành lập tới nay, MobiFone Global đã phát triển mạnh mẽ ở thị trường trong nước và quốc tế. Tại nước ngoài, MobiFone Global đã thành lập các công ty con hoạt động kinh doanh tại Hoa Kỳ, Singapore, Hồng Kông và thành lập văn phòng đại diện tại Myanmar. Với Ban lãnh đạo có tầm nhìn và đội ngũ cán bộ trẻ, năng động; từ khi đi vào hoạt động, MobiFone Global liên tục tăng trưởng doanh thu và lợi nhuận hàng năm. MobiFone Global đã được Chính phủ tặng Cờ thi đua cho thành tích xuất sắc trong phong trào thi đua năm 2015 và Bộ Thông tin Truyền thông trao tặng cờ thi đua cho tập thể xuất sắc dẫn đầu phong trào thi đua qua các năm hoạt động. Giới thiệu chung Tầm nhìn và Sứ Mệnh Giá trị cốt lõi Mô hình tổ chức Dấu mốc phát triển",100-499,"Số 105, đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",IT Phần cứng / Mạng,C_62a6ffb6
CÔNG TY CỔ PHẦN CÔNG NGHỆ NEXDATA,"Công ty Cổ phần Công nghệ NexData (NexData) là nhà cung cấp các dịch vụ tổng thể và chuyên sâu trong lĩnh vực dịch vụ công nghệ, tích hợp hệ thống, hạ tầng CNTT, tư vấn, kiểm định và sản xuất phần mềm trong lĩnh vực công nghệ thông tin. Là một ngôi nhà chung của tri thức, của những kinh nghiệm được đúc kết trên nhiều lĩnh vực khác nhau, của những chuyên gia đến từ nhiều quốc gia trên thế giới, NexData đồng tâm hợp lực đóng góp tri thức và cống hiến sáng tạo để cung cấp dịch vụ tư vấn, chia sẻ những kinh nghiệm thực tế về quản lý, quy trình và công nghệ nhằm hiện thực hóa các sáng kiến đổi mới, mang lại sự tiến bộ và các giá trị hữu ích cho Khách hàng, Đối tác và Cộng đồng. Khách hàng, Đối tác và Cổ đông của NexData được lắng nghe để thấu hiểu sâu sắc các nhu cầu của mình, mong muốn và khao khát tối đa hóa các yêu cầu và tiềm năng giúp bản thân và cộng đồng thành công. Cán bộ của NexData có năng lực và kinh nghiệm chuyên sâu về giải pháp, tích hợp công nghệ và phần mềm ứng dụng cho khối Chính phủ, Ngân hàng, Viễn thông, Truyền hình, Y tế và doanh nghiệp,… .Chúng tôi đã thực hiện thành công các dự án lớn, phức tạp, các dự án đầu tư ứng dụng công nghệ thông tin nhóm B và C tại Việt Nam. Và, vẫn không ngừng nỗ lực trong sáng tạo, đổi mới và nhận thức những tri thức mới, xu hướng công nghệ, kỹ năng quản lý ưu việt để phục vụ và đáp ứng các mong muốn, yêu cầu đặc thù khác nhau của mỗi Khách hàng, Đối tác và Cổ đông.",100-499,"Số 24, ngách 52, ngõ 1 phố Phạm Tuấn Tài, phường Dịch Vọng Hậu, quận Cầu Giấy, thành phố Hà Nội, Việt Nam.",Công nghệ thông tin,C_77f7b66c
CÔNG TY CỔ PHẦN CÔNG NGHỆ OMI,"Là tiền thân của Trung tâm kinh doanh OMI thuộc VIHAT Group, Công Ty Cổ Phần Công Nghệ OMI được thành lập ngày 29/11/2021.Mang trong mình sứ mệnh đưa giải pháp tương tác và chăm sóc khách đa kênh OMICall ứng dụng trong các hoạt động của doanh nghiệp. Giúp các doanh nghiệp giải quyết được bài toán quản lý tập trung, nâng cao hiệu suất cũng như tiết giảm chi phí.Đội ngũ OMI Technology JSC gồm những thành viên đầy nhiệt huyết, được cơ cấu theo các phòng ban chức năng đảm bảo tổ chức và vận hành một cách tối ưu nhất, thể hiện vai trò là đơn vị chủ quản dịch vụ OMICall trong ViHat Group.",25-99,"140-142 Đường 2, Khu nhà ở Vạn Phúc 1, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Kinh doanh / Bán hàng,C_872f0071
CÔNG TY CỔ PHẦN CÔNG NGHỆ PROTECH COMPUTER,"CÔNG TY CỔ PHẦN CÔNG NGHỆ PROTECH COMPUTER(PROTECH COMPUTER TECHNOLOGY JOINT STOCK COMPANY) Địa chỉ: Số 216 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội Mã số thuế: 0109531619 Người ĐDPL: Đặng Văn Thưởng Ngày hoạt động: 25/02/2021 Giấy phép kinh doanh: 0109531619 Lĩnh vực: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh.",25-99,"Địa chỉ: Số 216 Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội",IT Phần cứng / Mạng,C_0e982d03
CÔNG TY CỔ PHẦN CÔNG NGHỆ QTS VIỆT NAM,"Công ty Cổ phần Công nghệ QTS Việt Nam là nhà cung cấp dịch vụ công nghệ thông tin Uy Tín Và Chất Chất Lượng Hàng Đầu Hiện Nay. QTS Việt Nam là một trong những đơn vị chuyên tư vấn xây dựng và thiết kế website theo yêu cầu, thiết kế website giá rẻ, cung cấp các giải pháp công nghệ thông tin như: viễn thông, quản lý doanh nghiệp, ERP, CRM, hệ thông tin địa lý GIS, các hệ thống bán lẻ, quản trị doanh nghiệp và các giải pháp về hành chính công, Dịch VụDịch Vụ Thiết Kế Website Trọn Gói Giúp Khách Hàng Có Sản Phầm Chất Lượng Đồng Bộ Tiết Kiệm Thời Gian Và Chi Phí Nhất:- Thiết kế, xây dựng website- Đăng ký Tên miền - Hosting- Quảng Cáo Google Adwords- Seo Website: Tăng thứ hạng website trên google- Đăng Ký Email theo tên miền,...- Hỗ Trợ Marketing Online Hiệu Quả,...- Dịch Vụ Hỗ Trợ Chăm Sóc Khách Hàng Miễn Phí Trong quá trình sử dụng website.",10-24,"Tầng 2 số 52 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, TP. Hà Nội.",IT phần mềm,C_7ce47f95
CÔNG TY CỔ PHẦN CÔNG NGHỆ SMARTGAP,"Công ty cổ phần dịch vụ Bách Thuận là công ty công nghệ nông nghiệp, áp dụng các giải pháp công nghệ thông tin vào xử lý các vấn đề tồn đọng trong nông nghiệp ...",25-99,"Căn số 15, tầng 37, tòa C2- D’Capital, đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",IT phần mềm,C_6360ae5e
CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTATEK,"SotaTek is a part of Sota Holdings, a global Software Development as a Service (SDaaS) & IT Consulting group with 8 international offices in Vietnam, the US, Australia & Japan. We deliver sustainable Software Development, including Web/App, Blockchain, AI & Machine Learning, Odoo ERP with success guaranteed.SotaTek stands for “State-of-the-art Technology”. We offer dynamic tech experts with strong determination, enthusiasm and commitment in providing the most hi-tech IT services, with the ultimate goal to digitally transform and skyrocket Client’s business.During 6+ years of development, our 600+ talent team has top-notch IT consultants and developers who share deep expertise to successfully provided full-cycle IT services to our Clients from 20+ nations worldwide, with 350+ projects in various industries, such as Finance, Health Care, Retail, Real Estate, Education, Media & Entertainment.Our global Clients mainly from NA, EU, UK, ANZ, and Asia.",500-999,"Tòa CIC ( Số 2 Nguyễn Thị Duệ, Yên Hòa, Cầu Giấy, Hà Nội ) + Tòa Goden Park (Số 2 Phạm Văn Bạch, Yên Hòa, Cầu Giấy, Hà Nội )",Ngành nghề,C_1c61f1e0
CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ THIÊN QUANG,"Công ty Cổ phần Công nghệ số Thiên Quang (Thien Quang Digital technology joint stock company) thành lập năm 2015, tiền thân là Công ty cổ phần IT-Hà Nội (được thành lập vào năm 2012) với 6 thành viên sáng lập có kinh nghiệm và đam mê về CNTT và kinh doanh. Các thành viên với nền tảng chuyên ngành công nghệ thông tin, đã và đang làm việc trong môi trường quốc tế (Anh, Mỹ, Nhật), từng có kinh nghiệm trong việc điều hành công ty và tham gia làm việc trên thị trường lao động quốc tế. Cả 6 thành viên sáng lập đều có kiến thức nền tảng CNTT. Trong đó, có 2 thành viên có chuyên ngành về quản trị kinh doanh, một thành viên có chuyên ngành ngân hàng và đang học tiến sỹ về tài chính năm cuối tại Nhật. Với đội ngũ nền tảng như vậy, chúng tôi kiên trì xây dựng một tập thể vững mạnh, xây dựng một dịch vụ ưu việt, cung cấp những sản phẩm CNTT đáp ứng tốt nhu cầu của khách hàng. Phục vụ chiến lược phát triển của công ty, ban giám đốc Công ty đã họp và quyết định cung cấp dịch vụ hosting cho khách hàng mang thương hiệu HostingViet.vn. Là một công ty đã có nhiều kinh nghiệm cung cấp dịch vụ chất lượng cao cho KH Châu Âu và Nhật Bản. Hướng kinh doanh mới của công ty kế thừa và học hỏi được nhiều từ các đối tác. Chúng tôi rất mong muốn được góp một phần nhỏ vào sự phát triển ngành CNTT của Việt Nam.",25-99,"Tòa nhà Kim Ánh, ngõ 78 Duy Tân, Cầu Giấy, HN",IT phần mềm,C_57f245e1
CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ TIN TIN,Đang cập nhật,25-99,"Số 53 Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Kinh doanh / Bán hàng,C_d6e82684
CÔNG TY CỔ PHẦN CÔNG NGHỆ THÁC SỐ,Apply CV qua mail: hr@thacso.comTHÔNG TIN CÔNG TY:CÔNG TY CP CÔNG NGHỆ THÁC SỐ (MST: 0316169940)website: thacso.com- onweb.asiafanpage: https://www.facebook.com/onweb.asia/,1-9,"Lầu 2, tòa TSA Buildinh, B54-B56 Bạch Đằng, P2, Tân Bình, TP. HCM",Kinh doanh / Bán hàng,C_df107718
CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN ĐỊA LÝ EK,"Công ty CP công nghệ thông tin địa lý EK tiền thân là trung tâm Phần mềm và Dịch vụ GIS của công ty EK (thành lập từ năm 2001). Với hơn 20 năm kinh nghiệm trong phát triển, cung cấp phần mềm GIS, giải pháp ứng dụng GIS và dịch vụ GIS cho khách hàng.Một trong những lợi thế cạnh tranh của eKGIS so với các đối thủ khác là cung cấp cho Khách hàng các giải pháp trên nền tảng phần mềm GIS được chính công ty phát triển.- Về nhân lựcEKGIS có đội ngũ nhân viên là các chuyên gia có trình độ cao, dày dặn kinh nghiệm về các lĩnh vực công nghệ thông tin, toán tin, trắc địa, ... Tại EKGIS, chúng tôi luôn đề cao sự nhiệt huyết, tính sáng tạo, luôn coi trọng tinh thần tập thể, chú tâm vào việc phát triển nguồn nhân lực chất lượng cao, phong cách làm việc chuyên nghiệp, có tinh thần trách nhiệm cao, giàu nhiệt huyết luôn phấn đấu vì sự nghiệp phát triển chung của công ty.- Về khách hàng của eKGISKhách hàng của eKGIS là các cơ quan quản lý nhà nước và các doanh nghiệp trên cả nước. Ở khối cơ quan quản lý nhà nước, một số khách hàng như: Cục đo đạc và bản đồ Việt Nam; Trung tâm khí tượng thủy văn quốc gia; Sở TT&TT các tỉnh,...;Sở Tài nguyên và Môi trường; Sở Quy hoạch và Kiến trúc Hà Nội;...Với khối doanh nghiệp, một số khách hàng như tổng công ty điện lực miền Bắc, tổng công ty Viễn thông MobiFone, Công ty điện toán và truyền số liệu VDC,... Mức độ phổ biến rộng rãi của eKGIS cho thấy rằng chúng tôi là nơi hoàn toàn phù hợp và an toàn để trao gửi niềm tin.- Về sản phẩm của EKGISCityWork (CTW) là giải pháp hệ thống thông tin quản lý đô thị hợp nhất, phần mềm tiên phong và duy nhất đáp ứng các nhu cầu lập bản đồ, quản lý vận hành và quản lý bảo trì tài sản. Sản phẩm CityWork của eKGIS đã đạt danh hiệu sao khuê 2017, danh hiệu dành cho những Phần mềm tiêu biểu tại Việt Nam. GOVONE là giải pháp ứng dụng công nghệ bản đồ số (GIS), công nghệ di động và công nghệ điện toán đám mây nhằm hiện đại hóa công tác quản lý, giám sát hoạt động bảo trì đường bộ theo xu thế cuộc cách mạng công nghiệp 4.0. GOVONE cho phép sử dụng thiết bị di động thay thế các công cụ truyền thống.Ngoài ra EKGIS còn có một số những sản phẩm phần mềm khác như gServer, gCadas, MySensor. Thông tin chi tiết xem tại Website: www.ekgis.com.vn",25-99,"Tầng 3 Tòa CT1 - Thái Hà, 43 Phạm Văn Đồng, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",IT phần mềm,C_80dadff6
CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH TOÀN CẦU,Đang cập nhật,10-24,"Tầng 3, số 132 Nguyễn Khánh Toàn, phường Quan Hoa, quận Cầu Giấy, thành phố Hà Nội",Marketing / Truyền thông / Quảng cáo,C_902e06bd
CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH VIỆT,"CÔNG TY CỔ PHẦN CÔNG NGHỆ TÀI CHÍNH VIỆT(VIET FINANCE TECHNOLOGY JOINT STOCK COMPANY)Là một thành viên trong hệ sinh thái NextTech, Viet Finance Technology (VFC) định vị là hệ thống điểm dịch vụ tài chính đa tiện ích. Chúng tôi xác định sứ mệnh của mình là Cung cấp giải pháp tài chính toàn diện cho khách hàng. Chúng tôi cung cấp các dịch vụ tài chính từ Dịch vụ kết nối cho vay đối với các Cá nhân, hộ kinh doanh, doanh nghiệp; các dịch vụ tài chính tích hợp khác như thanh toán vay trả góp, điện, nước, điện thoại, bảo hiểm…",100-499,"Tầng 15, khối B, toà nhà sông Đà, Phạm Hùng, Nam Từ Liêm, Hà Nội.",Kinh doanh / Bán hàng,C_2612ced7
CÔNG TY CỔ PHẦN CÔNG NGHỆ UPBASE,"CÔNG TY CỔ PHẦN CÔNG NGHỆ UPBASE (UPBASE TECHNOLOGY JOINT STOCK COMPANY)Mã số thuế: 0109361325Người ĐDPL: Đỗ Văn GiangNgày hoạt động: 30/09/2020Giấy phép kinh doanh: 0109361325Lĩnh vực: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm",25-99,"Lô 11 - LK6 khu đấu giá Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Marketing / Truyền thông / Quảng cáo,C_8c884e85
CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,"UPP is a software development company providing services such as Blockchain Development, Mobile App Development, Software Development, Salesforce Consultant and Development, QA & Testing, Software Maintenance, UI/UX Design and so on.We believe that with many years of experience in the field of outsourcing and passion for technology, we could help customers optimize their business and operation.",25-99,"Mitec Building, Duong Dinh Nghe Street, Cau Giay District, Ha Noi, Viet Nam",IT phần mềm,C_d24631bc
CÔNG TY CỔ PHẦN CÔNG NGHỆ V9,"Lĩnh vực hoạt độngCung cấp và phát triển các sản phẩm phần mềm cho các lĩnh vực:Chính phủ điện tử Doanh nghiệp Tài chính ngân hàng Bưu chính – Viễn thôngGiáo dục Y tế Giao thông vận tảiCác giải phápTổng đài callcenter/Contact Center cho SMEs Cổng 1022 tiếp nhận và giải đáp thông tin Giải pháp khảo sát Sở/Ban/Ngành/Địa phương V9-DDCI Giải pháp tổng đài Taxi Cổng dịch vụ công trực tuyến và Một cửa điện tử V9-Gate Trục tích hợp V9-LGSP Cổng thông tin điện tử V9-Portal Phần mềm chuyên ngành/CSDL chuyên ngành (cấp Bộ/Sở/Huyện) Phần mềm Quản lý văn bản và Điều hành E-Office Hệ thống quản trị nội dung V9-ECMCung cấp các dịch vụ:Tư vấn hệ thống thông tin Bảo hành bảo trì hệ thống thông tin Tư vấn quản lý dự án công nghệ thông tinLưu trữ (Hosting) và quản trị Website, Cổng thông tin, E-mailĐại lý quảng cáo trực tuyếnĐào tạo về công nghệ thông tinGia công phần mềm theo hình thức BPO",10-24,"P703 Tòa Hanhud, đường Tôn Quang Phiệt, Bắc Từ Liêm, Hà Nội",Kinh doanh / Bán hàng,C_a4b85070
CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Công ty Cổ phần Công nghệ VCS Việt Nam (VCS Viet Nam Technology Joint Sock Company) là doanh nghiệp chuyên về nghiên cứu giải pháp, phát triển các ứng dụng công nghệ thông tin vào quản lý kinh tế và quản lý các hoạt động của các cơ quan, tổ chức. Bằng chiến lược kinh doanh hợp lý, kinh nghiệm và sức sáng tạo không ngừng, Công ty CP Công nghệ VCS Việt Nam đã nghiên cứu phát triển nhiều phần mềm và dịch vụ công nghệ thông tin vào quản lý kinh tế và hoạt động chuyên môn, nghiệp vụ của nhiều lĩnh vực. Với sự đa dạng, chất lượng cao về sản phẩm và dịch vụ, Công ty CP Công nghệ VCS Việt Nam ngày càng phát triển và có nhiều đóng góp tích cực vào việc nâng cao chất lượng, hiệu quả quản lý của các tổ chức, cá nhân; khẳng định uy tín, thương hiệu với khách hàng.Trong lĩnh vực kinh doanh của mình, Công ty đặc biệt chuyên sâu về:1. Tư vấn, nghiên cứu giải pháp về ứng dụng công nghệ thông tin trong quản lý.2. Phát triển phần mềm ứng dụng và dịch vụ công nghệ thông tin trong quản lý kinh tế (tài chính, tài sản, kế toán, bán hàng,...)3. Phát triển phần mềm và dịch vụ công nghệ thông tin phục vụ quản lý hoạt động chuyên môn, nghiệp vụ lĩnh vực giáo dục và các cơ quan hành chính, sự nghiệp khác.4. Cung ứng các dịch vụ máy chủ, hosting, bồi dưỡng kỹ năng chuyên môn, nghiệp vụ,...5. Cung ứng các dịch vụ tư vấn trong quản lý kinh tế,.... Về khu vực phát triển sản phẩm dịch vụ, Công ty đặc biệt chuyên sâu về nghiên cứu phát triển phần mềm ứng dụng và dịch vụ phần mềm cho khu vực công, trong đó đặc biệt thành công trong nghiên cứu ứng dụng công nghệ thông tin vào quản lý kinh tế, quản lý hoạt động chuyên môn, nghiệp vụ khu vực hành chính sự nghiệp và các doanh nghiệp nhà nước đặc thù, các hợp tác xã. Khi lựa chọn, tư vấn giải pháp, Công ty luôn tiên phong về cập nhật các tiến bộ về công nghệ mới nhất cho các sản phẩm và dịch vụ phần mềm của mình. Với sự sáng tạo không ngừng, sản phẩm và dịch vụ của Công ty không chỉ đáp ứng yêu cầu hiện đại, an toàn thông tin mà còn đảm bảo tính khoa học trong từng sản phẩm; phù hợp với chính sách chế độ và yêu cầu chuyên môn, nghiệp vụ nhà nước quy định, đồng thời cũng đáp ứng yêu cầu thực tiễn: thân thiện, dễ sử dụng cho người dùng. Trong môi trường năng động, cạnh tranh của thị trường CNTT hiện nay, Công ty luôn ý thức chất lượng phần mềm và các dịch vụ hỗ trợ là yếu tố quyết định sự tồn tại và phát triển của Công ty. Vì vậy, trong hoạt động kinh doanh và dịch vụ, Công ty luôn quan đến nghiên cứu, cập nhật công nghệ mới trong phát triển sản phẩm và dịch vụ; quán triệt và đề cao tinh thần trách nhiệm, khả năng chuyên môn, nghiệp vụ và kỹ năng trợ giúp khách hàng tốt của đội ngũ nhân viên; do đó Công ty ngày càng mở rộng được thị trường, khẳng định uy tín và thương hiệu với các cơ quan, tổ chức.",25-99,"Tầng 2, Tòa B, Số 101 Láng Hạ, Đống Đa, Hà Nội",IT phần mềm,C_2a739de1
CÔNG TY CỔ PHẦN CÔNG NGHỆ VIDOCO,"Tại Vidoco chúng tôi định nghĩa khách hàng bao gồm cả Đối tác, nhà cung cấp, cổ đông và nhân sự.Tầm nhìnVIDOCO Định hướng phát triển trở thành một Marketing Agency, nhà phát triển website uy tín SỐ MỘT VIỆT NAMGiá trị cốt lõiChúng tôi không ngừng xây dựng và phát triển doanh nghiệp dựa trên nền tảng: Uy Tín - Hợp tác - Tôn trọng - Hiệu quả",10-24,20 Thân Nhân Trung - Q. Tân Bình - Tp. HCM,Dịch vụ khách hàng,C_422ef678
CÔNG TY CỔ PHẦN CÔNG NGHỆ VIỄN THÔNG- TIN HỌC,"CHUYÊN GIA HOÀN THIỆN MẠNG TRUYỀN THÔNGĐược thành lập năm 2003, COMIT hiện là công ty hàng đầu tại Việt Nam cung cấp các giải pháp và dịch vụ viễn thông tiên tiến, giúp các cơ quan nhà nước hoạch định và kiểm soát chất lượng; giúp các nhà mạng và các hãng sản xuất nghiên cứu phát triển, sản xuất, triển khai, vận hành, duy trì và giám sát hệ thống mạng lưới viễn thông. Với hơn 250 nhân viên, COMIT hiện đang tập trung vào các giải pháp và dịch vụ giúp HOÀN THIỆN MẠNG TRUYỀN THÔNG, từ Đo kiểm (Test & Measurement) đến Tối ưu hóa (Optimization), từ Hỗ trợ Vận hành và Kinh doanh (Operational Support System & Business Support System) đến Giám sát Mạng lưới (Network Monitoring). Chúng tôi cung cấp các dịch vụ kỹ thuật viễn thông chuyên biệt, từ Sửa chữa và Hiệu chuẩn Thiết bị đo đến Đo kiểm Phát hiện Lỗi và Khắc phục Sự cố mạng lưới, từ Lắp đặt và Hòa mạng đến Tối ưu hóa mạng lưới, từ Vận hành đến Bảo trì các mạng.ĐỐI TÁC CỦA CÁC TẬP ĐOÀN HÀNG ĐẦU THẾ GIỚICOMIT có trụ sở chính tại Việt Nam và các công ty thành viên tại Philippines và Myanmar. COMIT đã và đang triển khai các dự án viễn thông tại nhiều nước trên thế giới như Lào, Campuchia, Đông Timor, Mozambique… (xem thêm tại http://www.comitcorp.com/en/customers/thecustomers-across-the-globe-2). Chúng tôi là đối tác HẠNG NHẤT (Tier 1) trong khu vực Châu Á – Thái Bình Dương của các tập đoàn hàng đầu thế giới như Viavi (nhà sản xuất thiết bị đo kiểm viễn thông Số 1 Thế giới đến từ Mỹ), Fujikura (nhà sản xuất máy hàn quang Số 1 Thế giới đến từ Nhật), Anite (nhà sản xuất hàng đầu thế giới về các giải pháp đánh giá chất lượng & tối ưu hoá mạng di động đến từ Phần Lan), Cellwize (hãng phát triển giải pháp tối ưu hoá tự động SON Số 1 thế giới đến từ Israel)…MÔI TRƯỜNG PHÁT TRIỂN CÁC TÀI NĂNGTầm nhìn COMIT: “ Trở thành nhà cung cấp hàng đầu trong khu vực về các giải pháp và dịch vụ tiên tiến trong lĩnh vực hoàn thiện mạng truyền thông, với một đội ngũ tài năng, nhiệt huyết và tận tụy phục vụ khách hàng.”Ngay từ khi thành lập cách đây hơn 10 năm, chúng tôi đã thấu hiểu con người là Tài sản quý giá nhất của COMIT và chúng tôi bắt đầu định hình một nền văn hóa doanh nghiệp nhằm phát triển con người COMIT.",100-499,"Tầng 9, tòa nhà TTC, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Bưu chính - Viễn thông,C_e41e1733
